SampleName,Control
HBD.gfp_1,HBD.igg_1
HBD.flag_1,HBD.igg_1
HBD.his_1,HBD.igg_1
HBD.rpa70_1,HBD.igg_1
HBD.h3k36me3_1,HBD.igg_1
HBD.h3k4me3_1,HBD.igg_1
HBD.gfp_2,HBD.igg_2
HBD.flag_2,HBD.igg_2
HBD.his_2,HBD.igg_2
HBD.rpa70_2,HBD.igg_2
HBD.h3k4me3_2,HBD.igg_2
HBD.h3k4me1_2,HBD.igg_2
WKK.gfp_1,WKK.igg_1
WKK.flag_1,WKK.igg_1
WKK.his_1,WKK.igg_1
WKK.h3k4me3_1,WKK.igg_1
WKK.gfp_2,WKK.igg_2
WKK.flag_2,WKK.igg_2
WKK.his_2,WKK.igg_2
WKK.h3k4me3_2,WKK.igg_2
WT.gfp_1,WT.igg_1
WT.flag_1,WT.igg_1
WT.his_1,WT.igg_1
WT.rpa70_1,WT.igg_1
WT.h3k36me3_1,WT.igg_1
WT.h3k4me3_1,WT.igg_1
WT.gfp_2,WT.igg_2
WT.flag_2,WT.igg_2
WT.his_2,WT.igg_2
WT.rpa70_2,WT.igg_2
WT.h3k4me3_2,WT.igg_2
WT.h3k4me1_2,WT.igg_2
